==============================
字数为53119, 字频为：
两: 69 0.13%
为: 69 0.13%
游: 69 0.13%
太: 68 0.128%
跑: 68 0.128%
雪: 67 0.126%
车: 67 0.126%
道: 66 0.124%
哪: 66 0.124%
欢: 66 0.124%
松: 65 0.122%
条: 65 0.122%
种: 65 0.122%
吃: 65 0.122%
字: 65 0.122%
许: 64 0.12%
同: 64 0.12%
方: 64 0.12%
桥: 64 0.12%
些: 64 0.12%
鱼: 63 0.119%
然: 63 0.119%
北: 63 0.119%
石: 61 0.115%
国: 61 0.115%
后: 60 0.113%
让: 60 0.113%
吗: 60 0.113%
船: 59 0.111%
空: 59 0.111%
跳: 58 0.109%
亮: 58 0.109%
流: 58 0.109%
声: 58 0.109%
分: 57 0.107%
三: 57 0.107%
向: 56 0.105%
住: 56 0.105%
巴: 56 0.105%
连: 55 0.104%
别: 55 0.104%
带: 55 0.104%
衣: 55 0.104%
放: 55 0.104%
正: 54 0.102%
打: 54 0.102%
身: 53 0.1%
呀: 53 0.1%
活: 52 0.098%
尾: 52 0.098%
河: 52 0.098%
球: 52 0.098%
再: 51 0.096%
清: 51 0.096%
法: 51 0.096%
跟: 51 0.096%
四: 51 0.096%
京: 51 0.096%
张: 51 0.096%
满: 50 0.094%
门: 50 0.094%
秋: 49 0.092%
书: 49 0.092%
交: 49 0.092%
木: 49 0.092%
轻: 49 0.092%
年: 49 0.092%
外: 48 0.09%
牛: 48 0.09%
海: 48 0.09%
房: 48 0.09%
火: 48 0.09%
师: 48 0.09%
弯: 47 0.088%
知: 47 0.088%
情: 47 0.088%
候: 47 0.088%
常: 46 0.087%
朋: 46 0.087%
往: 46 0.087%
友: 46 0.087%
枝: 46 0.087%
黄: 46 0.087%
帮: 46 0.087%
细: 46 0.087%
您: 45 0.085%
眼: 45 0.085%
歌: 45 0.085%
话: 45 0.085%
十: 44 0.083%
电: 44 0.083%
平: 44 0.083%
比: 44 0.083%
二: 44 0.083%
最: 44 0.083%
柳: 44 0.083%
记: 43 0.081%
唱: 43 0.081%
变: 43 0.081%
落: 43 0.081%
西: 43 0.081%
野: 43 0.081%
科: 43 0.081%
奇: 43 0.081%
片: 43 0.081%
猫: 43 0.081%
诵: 42 0.079%
鸡: 42 0.079%
马: 42 0.079%
沙: 42 0.079%
乐: 42 0.079%
处: 42 0.079%
田: 42 0.079%
送: 42 0.079%
忙: 41 0.077%
纸: 41 0.077%
演: 41 0.077%
座: 40 0.075%
朵: 40 0.075%
被: 40 0.075%
万: 40 0.075%
王: 40 0.075%
冬: 40 0.075%
慢: 40 0.075%
窗: 40 0.075%
望: 39 0.073%
每: 39 0.073%
娃: 39 0.073%
办: 39 0.073%
鼠: 39 0.073%
蛙: 38 0.072%
彩: 37 0.07%
吹: 37 0.07%
机: 37 0.07%
棉: 37 0.07%
玩: 37 0.07%
虫: 37 0.07%
新: 37 0.07%
摇: 37 0.07%
猴: 37 0.07%
云: 37 0.07%
意: 37 0.07%
萄: 36 0.068%
兰: 36 0.068%
脚: 36 0.068%
感: 36 0.068%
定: 36 0.068%
图: 36 0.068%
葡: 36 0.068%
菜: 36 0.068%
喜: 35 0.066%
飘: 35 0.066%
象: 35 0.066%
香: 35 0.066%
热: 35 0.066%
漂: 35 0.066%
台: 35 0.066%
羊: 35 0.066%
亲: 34 0.064%
金: 34 0.064%
古: 34 0.064%
立: 34 0.064%
鸭: 34 0.064%
直: 34 0.064%
场: 34 0.064%
等: 33 0.062%
灯: 33 0.062%
完: 33 0.062%
东: 33 0.062%
如: 33 0.062%
燕: 33 0.062%
远: 33 0.062%
已: 33 0.062%
爬: 33 0.062%
早: 32 0.06%
名: 32 0.06%
观: 32 0.06%
更: 32 0.06%
睡: 32 0.06%
瓜: 32 0.06%
指: 32 0.06%
南: 32 0.06%
经: 32 0.06%
评: 31 0.058%
棵: 31 0.058%
景: 31 0.058%
积: 31 0.058%
间: 31 0.058%
公: 31 0.058%
无: 31 0.058%
龙: 31 0.058%
五: 31 0.058%
先: 31 0.058%
熊: 30 0.056%
旁: 30 0.056%
才: 30 0.056%
阿: 30 0.056%
渐: 30 0.056%
识: 30 0.056%
相: 30 0.056%
干: 30 0.056%
趣: 30 0.056%
雷: 30 0.056%
植: 30 0.056%
极: 30 0.056%
领: 30 0.056%
请: 30 0.056%
啦: 30 0.056%
照: 30 0.056%
笔: 30 0.056%
际: 30 0.056%
当: 29 0.055%
累: 29 0.055%
悄: 29 0.055%
包: 29 0.055%
作: 29 0.055%
叔: 29 0.055%
乡: 29 0.055%
姑: 29 0.055%
桃: 29 0.055%
群: 29 0.055%
行: 29 0.055%
全: 29 0.055%
夜: 29 0.055%
拍: 29 0.055%
于: 28 0.053%
伞: 28 0.053%
娘: 28 0.053%
毛: 28 0.053%
第: 28 0.053%
暖: 28 0.053%
少: 28 0.053%
装: 28 0.053%
部: 28 0.053%
邮: 28 0.053%
睛: 27 0.051%
挂: 27 0.051%
湖: 27 0.051%
怪: 27 0.051%
族: 27 0.051%
世: 27 0.051%
哗: 27 0.051%
首: 27 0.051%
竹: 27 0.051%
原: 27 0.051%
讲: 27 0.051%
步: 27 0.051%
员: 26 0.049%
病: 26 0.049%
服: 26 0.049%
数: 26 0.049%
夏: 26 0.049%
蓝: 26 0.049%
班: 26 0.049%
刚: 26 0.049%
父: 26 0.049%
李: 26 0.049%
越: 26 0.049%
安: 26 0.049%
节: 26 0.049%
苗: 26 0.049%
玲: 26 0.049%
提: 26 0.049%
百: 26 0.049%
填: 26 0.049%
位: 26 0.049%
尔: 25 0.047%
华: 25 0.047%
川: 25 0.047%
转: 25 0.047%
枣: 25 0.047%
题: 25 0.047%
溪: 25 0.047%
容: 25 0.047%
紧: 25 0.047%
晚: 25 0.047%
目: 25 0.047%
票: 25 0.047%
论: 25 0.047%
屋: 25 0.047%
鹿: 25 0.047%
坐: 25 0.047%
周: 25 0.047%
芽: 25 0.047%
穿: 25 0.047%
捉: 25 0.047%
童: 24 0.045%
刻: 24 0.045%
城: 24 0.045%
块: 24 0.045%
藏: 24 0.045%
料: 24 0.045%
赶: 24 0.045%
土: 24 0.045%
使: 24 0.045%
蛋: 24 0.045%
六: 24 0.045%
丁: 24 0.045%
停: 24 0.045%
闪: 24 0.045%
冷: 24 0.045%
脑: 24 0.045%
选: 23 0.043%
急: 23 0.043%
告: 23 0.043%
谢: 23 0.043%
利: 23 0.043%
千: 23 0.043%
力: 23 0.043%
袋: 23 0.043%
难: 23 0.043%
广: 23 0.043%
今: 23 0.043%
理: 23 0.043%
弟: 23 0.043%
七: 22 0.041%
寒: 22 0.041%
总: 22 0.041%
浪: 22 0.041%
祖: 22 0.041%
觉: 22 0.041%
静: 22 0.041%
鲜: 22 0.041%
查: 22 0.041%
黑: 22 0.041%
脸: 22 0.041%
凉: 22 0.041%
掉: 22 0.041%
岸: 22 0.041%
井: 22 0.041%
拿: 22 0.041%
该: 22 0.041%
筝: 22 0.041%
宽: 21 0.04%
荷: 21 0.04%
件: 21 0.04%
站: 21 0.04%
劳: 21 0.04%
重: 21 0.04%
加: 21 0.04%
伙: 21 0.04%
思: 21 0.04%
角: 21 0.04%
离: 21 0.04%
圆: 21 0.04%
展: 21 0.04%
助: 21 0.04%
结: 21 0.04%
界: 21 0.04%
束: 21 0.04%
买: 21 0.04%
品: 20 0.038%
皮: 20 0.038%
化: 20 0.038%
男: 20 0.038%
元: 20 0.038%
次: 20 0.038%
造: 20 0.038%
故: 20 0.038%
抄: 20 0.038%
宁: 20 0.038%
豆: 20 0.038%
呼: 20 0.038%
信: 20 0.038%
神: 20 0.038%
晨: 20 0.038%
江: 20 0.038%
恐: 20 0.038%
泉: 20 0.038%
始: 20 0.038%
盛: 20 0.038%
蒙: 20 0.038%
禾: 20 0.038%
解: 20 0.038%
汽: 20 0.038%
准: 20 0.038%
八: 20 0.038%
称: 20 0.038%
之: 19 0.036%
器: 19 0.036%
民: 19 0.036%
双: 19 0.036%
狗: 19 0.036%
表: 19 0.036%
影: 19 0.036%
非: 19 0.036%
闻: 19 0.036%
算: 19 0.036%
本: 19 0.036%
哥: 19 0.036%
戏: 19 0.036%
仔: 19 0.036%
鞋: 19 0.036%
森: 19 0.036%
架: 19 0.036%
音: 19 0.036%
英: 18 0.034%
收: 18 0.034%
摘: 18 0.034%
右: 18 0.034%
午: 18 0.034%
错: 18 0.034%
卡: 18 0.034%
忘: 18 0.034%
改: 18 0.034%
舞: 18 0.034%
女: 18 0.034%
院: 18 0.034%
顶: 18 0.034%
实: 18 0.034%
诉: 18 0.034%
蜂: 18 0.034%
银: 18 0.034%
醒: 18 0.034%
深: 18 0.034%
易: 18 0.034%
接: 18 0.034%
圈: 18 0.034%
代: 18 0.034%
喝: 18 0.034%
罗: 18 0.034%
旗: 18 0.034%
温: 18 0.034%
幅: 18 0.034%
各: 18 0.034%
运: 17 0.032%
讨: 17 0.032%
习: 17 0.032%
布: 17 0.032%
乎: 17 0.032%
报: 17 0.032%
栽: 17 0.032%
塑: 17 0.032%
摆: 17 0.032%
取: 17 0.032%
夸: 17 0.032%
腿: 17 0.032%
户: 17 0.032%
密: 17 0.032%
借: 17 0.032%
特: 17 0.032%
壁: 17 0.032%
伸: 17 0.032%
合: 17 0.032%
底: 17 0.032%
列: 17 0.032%
狮: 17 0.032%
教: 17 0.032%
玫: 17 0.032%
床: 17 0.032%
市: 17 0.032%
瑰: 17 0.032%
扁: 16 0.03%
颗: 16 0.03%
洁: 16 0.03%
熟: 16 0.03%
邓: 16 0.03%
害: 16 0.03%
钱: 16 0.03%
却: 16 0.03%
孙: 16 0.03%
保: 16 0.03%
朝: 16 0.03%
碧: 16 0.03%
医: 16 0.03%
坏: 16 0.03%
息: 16 0.03%
养: 16 0.03%
迷: 16 0.03%
母: 16 0.03%
足: 16 0.03%
校: 16 0.03%
蜜: 16 0.03%
蚁: 16 0.03%
整: 16 0.03%
冲: 16 0.03%
护: 16 0.03%
洗: 16 0.03%
术: 16 0.03%
献: 16 0.03%
响: 16 0.03%
短: 16 0.03%
忽: 16 0.03%
蚂: 16 0.03%
乌: 16 0.03%
怕: 15 0.028%
低: 15 0.028%
亚: 15 0.028%
嘴: 15 0.028%
失: 15 0.028%
假: 15 0.028%
需: 15 0.028%
膀: 15 0.028%
晶: 15 0.028%
钻: 15 0.028%
赞: 15 0.028%
丑: 15 0.028%
甜: 15 0.028%
雄: 15 0.028%
答: 15 0.028%
埋: 15 0.028%
诗: 15 0.028%
稻: 15 0.028%
池: 15 0.028%
狸: 15 0.028%
拼: 15 0.028%
狐: 15 0.028%
腰: 15 0.028%
围: 15 0.028%
油: 15 0.028%
孔: 15 0.028%
度: 15 0.028%
伴: 15 0.028%
翅: 15 0.028%
洋: 15 0.028%
紫: 15 0.028%
商: 15 0.028%
骑: 15 0.028%
捡: 15 0.028%
吸: 15 0.028%
芦: 15 0.028%
刺: 15 0.028%
虎: 15 0.028%
网: 15 0.028%
扔: 15 0.028%
组: 15 0.028%
苦: 14 0.026%
弹: 14 0.026%
谷: 14 0.026%
言: 14 0.026%
滴: 14 0.026%
丢: 14 0.026%
沉: 14 0.026%
峰: 14 0.026%
鹅: 14 0.026%
操: 14 0.026%
葫: 14 0.026%
航: 14 0.026%
排: 14 0.026%
突: 14 0.026%
露: 14 0.026%
墙: 14 0.026%
而: 14 0.026%
泼: 14 0.026%
另: 14 0.026%
呱: 14 0.026%
主: 14 0.026%
宇: 14 0.026%
苹: 14 0.026%
半: 14 0.026%
秀: 14 0.026%
所: 14 0.026%
波: 14 0.026%
期: 14 0.026%
食: 14 0.026%
奔: 14 0.026%
珠: 14 0.026%
视: 14 0.026%
串: 14 0.026%
颜: 14 0.026%
湾: 14 0.026%
工: 14 0.026%
曲: 14 0.026%
拉: 14 0.026%
壮: 14 0.026%
察: 14 0.026%
折: 14 0.026%
根: 14 0.026%
躺: 14 0.026%
微: 13 0.024%
板: 13 0.024%
钟: 13 0.024%
笋: 13 0.024%
团: 13 0.024%
荡: 13 0.024%
梦: 13 0.024%
坛: 13 0.024%
惊: 13 0.024%
锋: 13 0.024%
志: 13 0.024%
便: 13 0.024%
号: 13 0.024%
玉: 13 0.024%
铅: 13 0.024%
尖: 13 0.024%
仙: 13 0.024%
巾: 13 0.024%
建: 13 0.024%
计: 13 0.024%
琴: 13 0.024%
洞: 13 0.024%
引: 13 0.024%
哇: 13 0.024%
左: 13 0.024%
业: 13 0.024%
翠: 13 0.024%
绕: 13 0.024%
终: 13 0.024%
蹦: 13 0.024%
线: 13 0.024%
潭: 13 0.024%
由: 13 0.024%
导: 13 0.024%
吐: 13 0.024%
留: 13 0.024%
杏: 13 0.024%
决: 13 0.024%
浅: 13 0.024%
楼: 13 0.024%
形: 13 0.024%
猜: 13 0.024%
祝: 13 0.024%
瓶: 13 0.024%
久: 12 0.023%
断: 12 0.023%
虹: 12 0.023%
铺: 12 0.023%
齐: 12 0.023%
及: 12 0.023%
修: 12 0.023%
内: 12 0.023%
灰: 12 0.023%
杜: 12 0.023%
休: 12 0.023%
登: 12 0.023%
众: 12 0.023%
牵: 12 0.023%
扑: 12 0.023%
酸: 12 0.023%
其: 12 0.023%
瞧: 12 0.023%
洼: 12 0.023%
纹: 12 0.023%
量: 12 0.023%
姨: 12 0.023%
死: 12 0.023%
摸: 12 0.023%
应: 12 0.023%
姐: 12 0.023%
绝: 12 0.023%
米: 12 0.023%
抬: 12 0.023%
尽: 12 0.023%
翻: 12 0.023%
技: 12 0.023%
切: 12 0.023%
降: 12 0.023%
采: 12 0.023%
顺: 12 0.023%
并: 12 0.023%
钢: 12 0.023%
铃: 12 0.023%
裙: 12 0.023%
街: 12 0.023%
唐: 12 0.023%
灭: 12 0.023%
但: 12 0.023%
纷: 11 0.021%
功: 11 0.021%
升: 11 0.021%
迎: 11 0.021%
吞: 11 0.021%
晒: 11 0.021%
抱: 11 0.021%
丹: 11 0.021%
迹: 11 0.021%
堆: 11 0.021%
粒: 11 0.021%
弱: 11 0.021%
令: 11 0.021%
徐: 11 0.021%
村: 11 0.021%
粗: 11 0.021%
茄: 11 0.021%
命: 11 0.021%
续: 11 0.021%
弄: 11 0.021%
涛: 11 0.021%
著: 11 0.021%
宝: 11 0.021%
轮: 11 0.021%
盆: 11 0.021%
区: 11 0.021%
庆: 11 0.021%
捧: 11 0.021%
纪: 11 0.021%
责: 11 0.021%
寻: 11 0.021%
猬: 11 0.021%
馆: 11 0.021%
入: 11 0.021%
阴: 11 0.021%
蜓: 11 0.021%
闹: 11 0.021%
岁: 11 0.021%
蜻: 11 0.021%
管: 11 0.021%
议: 11 0.021%
除: 11 0.021%
挑: 11 0.021%
伤: 11 0.021%
眨: 11 0.021%
扇: 11 0.021%
透: 11 0.021%
味: 11 0.021%
拔: 11 0.021%
凤: 11 0.021%
迪: 11 0.021%
肯: 11 0.021%
桌: 11 0.021%
胜: 11 0.021%
喊: 11 0.021%
九: 11 0.021%
碰: 11 0.021%
消: 11 0.021%
优: 11 0.021%
近: 11 0.021%
懒: 10 0.019%
乘: 10 0.019%
层: 10 0.019%
杨: 10 0.019%
劲: 10 0.019%
爽: 10 0.019%
遇: 10 0.019%
鹤: 10 0.019%
洒: 10 0.019%
羽: 10 0.019%
獾: 10 0.019%
棋: 10 0.019%
浮: 10 0.019%
扫: 10 0.019%
滚: 10 0.019%
铁: 10 0.019%
救: 10 0.019%
蚪: 10 0.019%
级: 10 0.019%
牧: 10 0.019%
环: 10 0.019%
集: 10 0.019%
制: 10 0.019%
句: 10 0.019%
充: 10 0.019%
季: 10 0.019%
筋: 10 0.019%
蔓: 10 0.019%
散: 10 0.019%
陆: 10 0.019%
敲: 10 0.019%
礼: 10 0.019%
陈: 10 0.019%
因: 10 0.019%
丝: 10 0.019%
举: 10 0.019%
幸: 10 0.019%
倒: 10 0.019%
莲: 10 0.019%
至: 10 0.019%
育: 10 0.019%
聪: 10 0.019%
懂: 10 0.019%
受: 10 0.019%
湿: 10 0.019%
念: 10 0.019%
互: 10 0.019%
粉: 10 0.019%
竿: 10 0.019%
叠: 10 0.019%
萨: 10 0.019%
斗: 10 0.019%
胖: 10 0.019%
鲁: 10 0.019%
芬: 10 0.019%
隆: 10 0.019%
历: 10 0.019%
昨: 10 0.019%
茂: 10 0.019%
丛: 10 0.019%
滑: 10 0.019%
随: 10 0.019%
省: 10 0.019%
待: 9 0.017%
良: 9 0.017%
培: 9 0.017%
示: 9 0.017%
刘: 9 0.017%
杯: 9 0.017%
雾: 9 0.017%
治: 9 0.017%
矮: 9 0.017%
客: 9 0.017%
梨: 9 0.017%
骆: 9 0.017%
砍: 9 0.017%
柜: 9 0.017%
队: 9 0.017%
宋: 9 0.017%
柏: 9 0.017%
鸦: 9 0.017%
鹃: 9 0.017%
咚: 9 0.017%
零: 9 0.017%
哭: 9 0.017%
继: 9 0.017%
霜: 9 0.017%
体: 9 0.017%
约: 9 0.017%
传: 9 0.017%
笼: 9 0.017%
娜: 9 0.017%
沟: 9 0.017%
抓: 9 0.017%
够: 9 0.017%
撒: 9 0.017%
任: 9 0.017%
咕: 9 0.017%
披: 9 0.017%
叹: 9 0.017%
盖: 9 0.017%
汗: 9 0.017%
未: 9 0.017%
焦: 9 0.017%
窝: 9 0.017%
靠: 9 0.017%
仍: 9 0.017%
饱: 9 0.017%
沿: 9 0.017%
愿: 9 0.017%
福: 9 0.017%
关: 9 0.017%
毯: 9 0.017%
类: 9 0.017%
镜: 9 0.017%
枚: 9 0.017%
备: 9 0.017%
诚: 9 0.017%
妹: 9 0.017%
浓: 9 0.017%
费: 9 0.017%
扬: 9 0.017%
针: 9 0.017%
益: 9 0.017%
鼻: 9 0.017%
鹰: 9 0.017%
刀: 9 0.017%
戴: 9 0.017%
慌: 9 0.017%
蝌: 9 0.017%
通: 9 0.017%
胡: 9 0.017%
喳: 9 0.017%
盘: 9 0.017%
旅: 8 0.015%
妙: 8 0.015%
探: 8 0.015%
农: 8 0.015%
德: 8 0.015%
奖: 8 0.015%
趴: 8 0.015%
览: 8 0.015%
敌: 8 0.015%
补: 8 0.015%
份: 8 0.015%
喷: 8 0.015%
缸: 8 0.015%
席: 8 0.015%
封: 8 0.015%
军: 8 0.015%
疼: 8 0.015%
页: 8 0.015%
哈: 8 0.015%
嵩: 8 0.015%
谜: 8 0.015%
司: 8 0.015%
斜: 8 0.015%
吓: 8 0.015%
坡: 8 0.015%
耳: 8 0.015%
型: 8 0.015%
委: 8 0.015%
共: 8 0.015%
注: 8 0.015%
泥: 8 0.015%
或: 8 0.015%
钩: 8 0.015%
遮: 8 0.015%
疲: 8 0.015%
躲: 8 0.015%
亿: 8 0.015%
尺: 8 0.015%
炎: 8 0.015%
嗒: 8 0.015%
富: 8 0.015%
争: 8 0.015%
淡: 8 0.015%
潮: 8 0.015%
史: 8 0.015%
壳: 8 0.015%
椅: 8 0.015%
产: 8 0.015%
燃: 8 0.015%
脱: 8 0.015%
婆: 8 0.015%
阵: 8 0.015%
泳: 8 0.015%
岛: 8 0.015%
纺: 8 0.015%
牙: 8 0.015%
苍: 8 0.015%
搭: 8 0.015%
创: 8 0.015%
鸣: 8 0.015%
璃: 8 0.015%
冰: 8 0.015%
玻: 8 0.015%
敢: 8 0.015%
晃: 8 0.015%
浇: 8 0.015%
睁: 8 0.015%
义: 8 0.015%
琳: 8 0.015%
遍: 8 0.015%
敬: 8 0.015%
塘: 8 0.015%
虚: 8 0.015%
似: 8 0.015%
伯: 8 0.015%
染: 8 0.015%
练: 8 0.015%
研: 8 0.015%
困: 8 0.015%
俩: 8 0.015%
精: 8 0.015%
裤: 8 0.015%
鼓: 8 0.015%
严: 8 0.015%
状: 8 0.015%
射: 8 0.015%
驼: 8 0.015%
藤: 8 0.015%
枫: 8 0.015%
叭: 7 0.013%
杆: 7 0.013%
桶: 7 0.013%
介: 7 0.013%
换: 7 0.013%
绳: 7 0.013%
瓣: 7 0.013%
裳: 7 0.013%
净: 7 0.013%
桩: 7 0.013%
叽: 7 0.013%
具: 7 0.013%
呆: 7 0.013%
粱: 7 0.013%
赠: 7 0.013%
货: 7 0.013%
逃: 7 0.013%
甸: 7 0.013%
复: 7 0.013%
售: 7 0.013%
挤: 7 0.013%
将: 7 0.013%
淋: 7 0.013%
替: 7 0.013%
莺: 7 0.013%
维: 7 0.013%
傲: 7 0.013%
激: 7 0.013%
质: 7 0.013%
显: 7 0.013%
抽: 7 0.013%
烂: 7 0.013%
握: 7 0.013%
州: 7 0.013%
乱: 7 0.013%
移: 7 0.013%
肉: 7 0.013%
膊: 7 0.013%
胳: 7 0.013%
吴: 7 0.013%
暑: 7 0.013%
艺: 7 0.013%
嫩: 7 0.013%
尝: 7 0.013%
烧: 7 0.013%
岩: 7 0.013%
勤: 7 0.013%
式: 7 0.013%
枯: 7 0.013%
惜: 7 0.013%
骨: 7 0.013%
丰: 7 0.013%
达: 7 0.013%
典: 7 0.013%
勃: 7 0.013%
辆: 7 0.013%
牢: 7 0.013%
蝶: 7 0.013%
泪: 7 0.013%
雀: 7 0.013%
珍: 7 0.013%
按: 7 0.013%
驴: 7 0.013%
驶: 7 0.013%
曹: 7 0.013%
闭: 7 0.013%
托: 7 0.013%
凳: 7 0.013%
冒: 7 0.013%
饭: 7 0.013%
雁: 7 0.013%
蚜: 7 0.013%
腾: 7 0.013%
蔷: 7 0.013%
薇: 7 0.013%
蒸: 7 0.013%
垂: 7 0.013%
迟: 7 0.013%
赛: 7 0.013%
卫: 7 0.013%
谈: 7 0.013%
与: 7 0.013%
隔: 7 0.013%
岭: 7 0.013%
册: 7 0.013%
掌: 7 0.013%
晴: 7 0.013%
傍: 7 0.013%
默: 7 0.013%
伊: 7 0.013%
灵: 7 0.013%
隐: 7 0.013%
蜘: 7 0.013%
蛛: 7 0.013%
擦: 7 0.013%
舍: 7 0.013%
伦: 7 0.013%
夫: 7 0.013%
凰: 7 0.013%
煌: 7 0.013%
梳: 7 0.013%
刷: 7 0.013%
永: 7 0.013%
辉: 7 0.013%
顾: 6 0.011%
推: 6 0.011%
傣: 6 0.011%
考: 6 0.011%
夺: 6 0.011%
艘: 6 0.011%
宙: 6 0.011%
府: 6 0.011%
甲: 6 0.011%
筑: 6 0.011%
织: 6 0.011%
漫: 6 0.011%
毁: 6 0.011%
闷: 6 0.011%
附: 6 0.011%
必: 6 0.011%
软: 6 0.011%
暴: 6 0.011%
须: 6 0.011%
秃: 6 0.011%
刨: 6 0.011%
喵: 6 0.011%
室: 6 0.011%
肥: 6 0.011%
郊: 6 0.011%
肚: 6 0.011%
堂: 6 0.011%
端: 6 0.011%
挖: 6 0.011%
兽: 6 0.011%
速: 6 0.011%
汉: 6 0.011%
润: 6 0.011%
巨: 6 0.011%
尤: 6 0.011%
确: 6 0.011%
贵: 6 0.011%
寸: 6 0.011%
榆: 6 0.011%
索: 6 0.011%
聊: 6 0.011%
绍: 6 0.011%
棚: 6 0.011%
哄: 6 0.011%
痛: 6 0.011%
汪: 6 0.011%
咱: 6 0.011%
抢: 6 0.011%
模: 6 0.011%
稼: 6 0.011%
贴: 6 0.011%
盼: 6 0.011%
捕: 6 0.011%
盯: 6 0.011%
涂: 6 0.011%
滩: 6 0.011%
遥: 6 0.011%
齿: 6 0.011%
奋: 6 0.011%
店: 6 0.011%
单: 6 0.011%
洛: 6 0.011%
居: 6 0.011%
虽: 6 0.011%
检: 6 0.011%
负: 6 0.011%
瘦: 6 0.011%
忍: 6 0.011%
冻: 6 0.011%
唤: 6 0.011%
犹: 6 0.011%
芳: 6 0.011%
碗: 6 0.011%
跃: 6 0.011%
盒: 6 0.011%
招: 6 0.011%
柴: 6 0.011%
担: 6 0.011%
篮: 6 0.011%
申: 6 0.011%
拥: 6 0.011%
坪: 6 0.011%
囊: 6 0.011%
橱: 6 0.011%
蹲: 6 0.011%
脖: 6 0.011%
赵: 6 0.011%
印: 6 0.011%
挥: 6 0.011%
梯: 6 0.011%
映: 6 0.011%
猪: 6 0.011%
蝉: 6 0.011%
厚: 6 0.011%
稳: 6 0.011%
丫: 6 0.011%
轰: 6 0.011%
宫: 6 0.011%
惯: 6 0.011%
健: 6 0.011%
踩: 6 0.011%
搬: 6 0.011%
辨: 6 0.011%
庄: 6 0.011%
烟: 6 0.011%
骄: 6 0.011%
词: 6 0.011%
参: 6 0.011%
撕: 6 0.011%
株: 6 0.011%
派: 6 0.011%
战: 6 0.011%
猎: 6 0.011%
菊: 6 0.011%
疑: 6 0.011%
扎: 6 0.011%
龟: 6 0.011%
伟: 6 0.011%
性: 6 0.011%
追: 6 0.011%
耐: 6 0.011%
描: 6 0.011%
眉: 6 0.011%
矿: 6 0.011%
承: 6 0.011%
央: 6 0.011%
厂: 6 0.011%
碎: 6 0.011%
