==============================
字数为53119, 字频为：
的: 1653 3.112%
一: 1140 2.146%
我: 1054 1.984%
了: 957 1.802%
小: 826 1.555%
读: 666 1.254%
说: 521 0.981%
会: 517 0.973%
子: 484 0.911%
上: 438 0.825%
在: 437 0.823%
有: 425 0.8%
来: 421 0.793%
是: 412 0.776%
地: 406 0.764%
着: 377 0.71%
天: 376 0.708%
不: 370 0.697%
们: 351 0.661%
看: 341 0.642%
大: 336 0.633%
到: 327 0.616%
里: 322 0.606%
妈: 306 0.576%
个: 299 0.563%
他: 292 0.55%
你: 282 0.531%
花: 246 0.463%
好: 244 0.459%
人: 242 0.456%
树: 222 0.418%
画: 219 0.412%
去: 218 0.41%
写: 214 0.403%
么: 212 0.399%
就: 207 0.39%
这: 203 0.382%
多: 200 0.377%
下: 197 0.371%
家: 195 0.367%
文: 193 0.363%
把: 191 0.36%
水: 189 0.356%
起: 183 0.345%
想: 180 0.339%
儿: 179 0.337%
认: 179 0.337%
背: 176 0.331%
课: 170 0.32%
出: 168 0.316%
得: 162 0.305%
要: 162 0.305%
只: 162 0.305%
又: 160 0.301%
高: 157 0.296%
过: 156 0.294%
白: 152 0.286%
很: 152 0.286%
边: 145 0.273%
和: 145 0.273%
爷: 140 0.264%
长: 137 0.258%
那: 133 0.25%
山: 132 0.248%
也: 130 0.245%
见: 128 0.241%
生: 126 0.237%
自: 124 0.233%
风: 122 0.23%
都: 121 0.228%
朗: 120 0.226%
动: 120 0.226%
可: 119 0.224%
雨: 119 0.224%
能: 116 0.218%
春: 116 0.218%
走: 115 0.216%
学: 114 0.215%
头: 113 0.213%
开: 111 0.209%
孩: 109 0.205%
给: 106 0.2%
面: 106 0.2%
绿: 103 0.194%
她: 102 0.192%
像: 102 0.192%
心: 102 0.192%
发: 101 0.19%
做: 100 0.188%
飞: 100 0.188%
没: 100 0.188%
美: 100 0.188%
从: 99 0.186%
成: 98 0.184%
它: 96 0.181%
快: 95 0.179%
鸟: 95 0.179%
爸: 95 0.179%
还: 94 0.177%
什: 93 0.175%
园: 92 0.173%
中: 92 0.173%
爱: 90 0.169%
老: 90 0.169%
路: 90 0.169%
呢: 90 0.169%
红: 89 0.168%
时: 89 0.168%
明: 89 0.168%
日: 89 0.168%
对: 86 0.162%
真: 86 0.162%
用: 85 0.16%
问: 85 0.16%
吧: 83 0.156%
手: 83 0.156%
样: 83 0.156%
笑: 82 0.154%
己: 82 0.154%
回: 82 0.154%
兔: 81 0.152%
月: 81 0.152%
叶: 81 0.152%
丽: 81 0.152%
物: 80 0.151%
谁: 80 0.151%
点: 80 0.151%
光: 79 0.149%
找: 77 0.145%
奶: 77 0.145%
口: 76 0.143%
以: 75 0.141%
听: 75 0.141%
啊: 75 0.141%
语: 75 0.141%
阳: 75 0.141%
星: 74 0.139%
兴: 74 0.139%
怎: 74 0.139%
前: 74 0.139%
草: 73 0.137%
事: 73 0.137%
进: 73 0.137%
现: 73 0.137%
气: 72 0.136%
叫: 72 0.136%
果: 71 0.134%
林: 71 0.134%
几: 70 0.132%
青: 70 0.132%
色: 70 0.132%
