==============================
字数为18842, 字频为：
的: 533 2.829%
一: 412 2.187%
我: 402 2.134%
小: 402 2.134%
了: 339 1.799%
读: 313 1.661%
说: 236 1.253%
会: 227 1.205%
子: 197 1.046%
上: 157 0.833%
来: 149 0.791%
有: 143 0.759%
大: 142 0.754%
妈: 142 0.754%
地: 140 0.743%
看: 139 0.738%
不: 135 0.716%
着: 131 0.695%
们: 130 0.69%
天: 125 0.663%
花: 122 0.647%
在: 122 0.647%
是: 119 0.632%
里: 113 0.6%
他: 100 0.531%
到: 99 0.525%
么: 97 0.515%
你: 97 0.515%
去: 95 0.504%
背: 91 0.483%
树: 91 0.483%
写: 89 0.472%
个: 88 0.467%
文: 87 0.462%
白: 85 0.451%
画: 85 0.451%
家: 83 0.441%
爷: 82 0.435%
课: 79 0.419%
把: 73 0.387%
下: 73 0.387%
儿: 70 0.372%
好: 69 0.366%
高: 68 0.361%
雨: 66 0.35%
认: 65 0.345%
水: 64 0.34%
很: 64 0.34%
过: 64 0.34%
边: 64 0.34%
兔: 62 0.329%
这: 62 0.329%
就: 61 0.324%
又: 60 0.318%
想: 60 0.318%
人: 60 0.318%
爸: 59 0.313%
见: 58 0.308%
绿: 58 0.308%
长: 56 0.297%
多: 55 0.292%
春: 55 0.292%
朗: 53 0.281%
奶: 53 0.281%
起: 52 0.276%
生: 52 0.276%
山: 51 0.271%
路: 50 0.265%
只: 50 0.265%
出: 48 0.255%
呢: 48 0.255%
给: 48 0.255%
要: 48 0.255%
走: 47 0.249%
得: 47 0.249%
和: 45 0.239%
飞: 45 0.239%
桥: 45 0.239%
园: 44 0.234%
游: 44 0.234%
巴: 43 0.228%
面: 43 0.228%
手: 43 0.228%
美: 42 0.223%
鸟: 42 0.223%
对: 41 0.218%
开: 40 0.212%
自: 40 0.212%
快: 40 0.212%
红: 40 0.212%
尾: 39 0.207%
草: 39 0.207%
啊: 39 0.207%
心: 39 0.207%
青: 39 0.207%
日: 39 0.207%
明: 39 0.207%
什: 38 0.202%
头: 38 0.202%
孩: 37 0.196%
跑: 37 0.196%
学: 37 0.196%
回: 37 0.196%
松: 37 0.196%
阳: 37 0.196%
怎: 36 0.191%
那: 36 0.191%
车: 36 0.191%
都: 36 0.191%
语: 36 0.191%
吧: 36 0.191%
也: 35 0.186%
没: 35 0.186%
果: 35 0.186%
光: 34 0.18%
谁: 34 0.18%
平: 34 0.18%
问: 34 0.18%
叶: 33 0.175%
口: 33 0.175%
从: 33 0.175%
正: 32 0.17%
月: 32 0.17%
菜: 32 0.17%
兴: 32 0.17%
进: 32 0.17%
两: 32 0.17%
雪: 32 0.17%
做: 31 0.165%
吃: 31 0.165%
可: 31 0.165%
跳: 31 0.165%
色: 30 0.159%
种: 30 0.159%
兰: 30 0.159%
发: 30 0.159%
火: 30 0.159%
老: 30 0.159%
笑: 30 0.159%
前: 30 0.159%
还: 29 0.154%
木: 29 0.154%
棉: 29 0.154%
河: 29 0.154%
动: 29 0.154%
连: 28 0.149%
些: 28 0.149%
轻: 28 0.149%
鱼: 28 0.149%
真: 28 0.149%
弯: 28 0.149%
像: 28 0.149%
亮: 28 0.149%
点: 28 0.149%
爱: 28 0.149%
用: 27 0.143%
欢: 27 0.143%
燕: 27 0.143%
己: 26 0.138%
王: 26 0.138%
风: 26 0.138%
成: 26 0.138%
丽: 26 0.138%
西: 25 0.133%
忙: 25 0.133%
球: 25 0.133%
哪: 25 0.133%
房: 25 0.133%
听: 25 0.133%
瓜: 25 0.133%
后: 25 0.133%
放: 24 0.127%
空: 24 0.127%
座: 24 0.127%
几: 23 0.122%
她: 23 0.122%
林: 23 0.122%
跟: 23 0.122%
黄: 23 0.122%
国: 23 0.122%
电: 23 0.122%
打: 23 0.122%
吗: 22 0.117%
叫: 22 0.117%
时: 22 0.117%
为: 22 0.117%
三: 22 0.117%
马: 22 0.117%
能: 22 0.117%
同: 22 0.117%
诵: 22 0.117%
找: 21 0.111%
沙: 21 0.111%
办: 21 0.111%
虫: 21 0.111%
眼: 21 0.111%
条: 21 0.111%
桃: 21 0.111%
事: 21 0.111%
四: 21 0.111%
样: 21 0.111%
住: 21 0.111%
机: 21 0.111%
玩: 21 0.111%
呀: 21 0.111%
牛: 21 0.111%
声: 21 0.111%
字: 20 0.106%
带: 20 0.106%
帮: 20 0.106%
让: 20 0.106%
外: 20 0.106%
象: 20 0.106%
云: 20 0.106%
鼠: 20 0.106%
捉: 19 0.101%
二: 19 0.101%
友: 19 0.101%
朋: 19 0.101%
衣: 19 0.101%
猴: 19 0.101%
方: 19 0.101%
比: 19 0.101%
羊: 19 0.101%
张: 19 0.101%
再: 19 0.101%
睡: 19 0.101%
京: 19 0.101%
您: 19 0.101%
东: 19 0.101%
法: 18 0.096%
朵: 18 0.096%
送: 18 0.096%
船: 18 0.096%
公: 18 0.096%
许: 18 0.096%
柳: 18 0.096%
伞: 18 0.096%
完: 18 0.096%
太: 18 0.096%
乐: 18 0.096%
常: 18 0.096%
道: 18 0.096%
气: 18 0.096%
荷: 18 0.096%
群: 17 0.09%
中: 17 0.09%
请: 17 0.09%
往: 17 0.09%
土: 17 0.09%
处: 17 0.09%
棵: 17 0.09%
暖: 17 0.09%
南: 17 0.09%
现: 17 0.09%
秋: 17 0.09%
姑: 17 0.09%
物: 17 0.09%
热: 16 0.085%
乡: 16 0.085%
落: 16 0.085%
最: 16 0.085%
活: 16 0.085%
唱: 16 0.085%
被: 16 0.085%
师: 16 0.085%
星: 16 0.085%
细: 16 0.085%
向: 16 0.085%
十: 16 0.085%
鸭: 16 0.085%
爬: 16 0.085%
田: 16 0.085%
竹: 16 0.085%
鞋: 16 0.085%
包: 16 0.085%
蚂: 15 0.08%
睛: 15 0.08%
蚁: 15 0.08%
话: 15 0.08%
先: 15 0.08%
它: 15 0.08%
凉: 15 0.08%
满: 15 0.08%
门: 15 0.08%
娘: 15 0.08%
身: 15 0.08%
屋: 15 0.08%
鲜: 15 0.08%
评: 15 0.08%
节: 15 0.08%
蓝: 14 0.074%
野: 14 0.074%
场: 14 0.074%
台: 14 0.074%
石: 14 0.074%
望: 14 0.074%
夏: 14 0.074%
每: 14 0.074%
歌: 14 0.074%
以: 14 0.074%
蛙: 14 0.074%
奇: 14 0.074%
壁: 14 0.074%
虎: 14 0.074%
禾: 14 0.074%
流: 14 0.074%
别: 14 0.074%
熊: 14 0.074%
直: 14 0.074%
讲: 14 0.074%
冬: 14 0.074%
洗: 14 0.074%
伙: 13 0.069%
论: 13 0.069%
年: 13 0.069%
夜: 13 0.069%
交: 13 0.069%
五: 13 0.069%
然: 13 0.069%
分: 13 0.069%
狮: 13 0.069%
装: 13 0.069%
清: 13 0.069%
少: 13 0.069%
远: 13 0.069%
漂: 13 0.069%
才: 13 0.069%
片: 13 0.069%
领: 13 0.069%
宽: 13 0.069%
原: 13 0.069%
积: 13 0.069%
目: 13 0.069%
早: 13 0.069%
彩: 13 0.069%
经: 13 0.069%
已: 13 0.069%
皮: 13 0.069%
书: 13 0.069%
喜: 13 0.069%
鸡: 13 0.069%
改: 12 0.064%
毛: 12 0.064%
万: 12 0.064%
排: 12 0.064%
新: 12 0.064%
掉: 12 0.064%
吹: 12 0.064%
江: 12 0.064%
袋: 12 0.064%
行: 12 0.064%
岸: 12 0.064%
拼: 12 0.064%
更: 12 0.064%
六: 12 0.064%
圆: 12 0.064%
摘: 12 0.064%
提: 12 0.064%
北: 12 0.064%
借: 12 0.064%
干: 12 0.064%
哗: 12 0.064%
急: 12 0.064%
海: 12 0.064%
植: 11 0.058%
乌: 11 0.058%
脑: 11 0.058%
觉: 11 0.058%
知: 11 0.058%
苗: 11 0.058%
越: 11 0.058%
步: 11 0.058%
森: 11 0.058%
间: 11 0.058%
油: 11 0.058%
醒: 11 0.058%
香: 11 0.058%
诉: 11 0.058%
累: 11 0.058%
赶: 11 0.058%
全: 11 0.058%
啦: 11 0.058%
结: 11 0.058%
狗: 11 0.058%
藏: 11 0.058%
识: 11 0.058%
谢: 10 0.053%
块: 10 0.053%
感: 10 0.053%
蜻: 10 0.053%
忘: 10 0.053%
蜓: 10 0.053%
飘: 10 0.053%
右: 10 0.053%
记: 10 0.053%
怪: 10 0.053%
冲: 10 0.053%
演: 10 0.053%
等: 10 0.053%
晶: 10 0.053%
加: 10 0.053%
母: 10 0.053%
本: 10 0.053%
告: 10 0.053%
尖: 10 0.053%
定: 10 0.053%
金: 10 0.053%
碧: 10 0.053%
古: 10 0.053%
今: 10 0.053%
非: 10 0.053%
无: 10 0.053%
井: 10 0.053%
丢: 10 0.053%
造: 9 0.048%
滴: 9 0.048%
情: 9 0.048%
站: 9 0.048%
午: 9 0.048%
候: 9 0.048%
闪: 9 0.048%
腿: 9 0.048%
左: 9 0.048%
熟: 9 0.048%
灰: 9 0.048%
安: 9 0.048%
收: 9 0.048%
害: 9 0.048%
冷: 9 0.048%
料: 9 0.048%
合: 9 0.048%
视: 9 0.048%
慢: 9 0.048%
称: 9 0.048%
短: 9 0.048%
